descriptor,Te,r^2 (Te),Vp,RMSE (Vp),n0,Vf,i_sat
79.89174560216509,3.8623301757414112,0.985130712866893,7.949999999999999,0.08389469518750388,3478643176.2075834,-2.2325,-1.0204081632653099e-05
80.37889039242219,3.9716037191296785,0.993693687952582,7.949999999999999,0.09396159308465364,3361845130.2208743,-2.2325,-1.0000000000000036e-05
80.8660351826793,3.8235993468255915,0.9861215488823201,7.949999999999999,0.08739252006753305,3740952293.904459,-2.2525,-1.0918367346938812e-05
81.3531799729364,3.8235993468255915,0.9861215488823201,7.949999999999999,0.0872327824768672,3740952293.904459,-2.2525,-1.0918367346938812e-05
81.84032476319351,3.7384749720716646,0.9984806799317593,7.949999999999999,0.0872327824768672,3783302963.0846577,-2.2525,-1.0918367346938812e-05
82.32746955345061,3.92729790277674,0.9999807009648611,7.949999999999999,0.0872327824768672,3691232801.538679,-2.2525,-1.0918367346938812e-05
82.81461434370772,4.056966934100232,0.9969199798975112,7.949999999999999,0.08102645607103341,3292346848.7135515,-2.2525,-9.897959183673491e-06
83.30175913396482,4.031903464971466,0.9821495611275352,7.949999999999999,0.08092776681369357,3574940500.562385,-2.2525,-1.0714285714285741e-05
83.78890392422193,4.341065428827246,0.9374536167911678,8.946250000000001,0.07209428815117513,3149978930.2358866,-2.2525,-9.795918367346966e-06
84.27604871447903,4.094243229718211,0.93759879667494,7.949999999999999,0.09366938835976488,2263719253.023771,-2.2525,-6.836734693877568e-06
84.76319350473614,4.349559589372335,0.9374490498193974,8.926250000000001,0.08115313677453871,3179681890.038531,-2.2525,-9.897959183673515e-06
85.25033829499324,4.451408684088227,0.9373962621708529,8.926250000000001,0.09140311449381881,3531932094.832109,-2.2525,-1.112244897959187e-05
85.73748308525035,4.273073226220691,0.9374911412061684,8.926250000000001,0.08140819202909653,2910362501.897699,-2.2525,-8.97959183673474e-06
86.22462787550745,3.7905266918452147,0.9924229060709536,7.93,0.07787981026485494,3406093270.885447,-2.2525,-9.897959183673515e-06
86.71177266576456,3.513310135765988,0.997479218782883,6.953749999999999,0.07777602908388373,3136713034.0202856,-2.2525,-8.775510204081655e-06
87.19891745602166,3.910170941182541,0.9933950555580875,7.93,0.08803299176676424,4010464707.982279,-2.2525,-1.183673469387758e-05
87.68606224627877,3.806800283283398,0.9975603769057301,6.953749999999999,0.08934530106648526,4472654460.652008,-3.32875,-1.3025210084033669e-05
88.17320703653587,4.07681105108637,0.99246701313204,7.93,0.08005328059981896,4705406907.01859,-3.34875,-1.4180672268907612e-05
88.66035182679296,4.249620262474194,0.9815444643081168,7.909999999999998,0.09165038730173009,4267353886.724354,-3.34875,-1.3130252100840393e-05
89.14749661705007,4.232981594650828,0.9814970988767383,7.909999999999998,0.08472965265348448,4207320828.3180504,-3.34875,-1.292016806722695e-05
89.63464140730717,4.149711369029204,0.9812513251450827,7.909999999999998,0.08954882198635822,3903850763.554082,-3.34875,-1.1869747899159744e-05
90.12178619756428,5.122654064970173,0.9624909319898428,9.9225,0.08799795892163956,3824558480.2810464,-3.34875,-1.292016806722693e-05
90.60893098782138,5.122654064970155,0.9624909319898429,8.92625,0.09330509709919779,3824558480.281064,-3.34875,-1.2920168067226968e-05
91.09607577807849,5.193008613507547,0.9625130643026234,9.9225,0.08777581249532647,4020035224.734723,-2.2725,-1.367346938775514e-05
91.58322056833559,5.298441528838858,0.9719886868040732,9.9225,0.08804678754284875,3712534700.4489546,-2.2725,-1.2755102040816364e-05
92.0703653585927,5.041847813948039,0.9981849061041453,8.92625,0.08520706671864321,3775386343.3208227,-2.2725,-1.2653061224489836e-05
